Team,Year,Contest (Average),AveragePoints,Contest (First),FirstPct,Contest (Top 5),Top5Pct
Roslyn,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Lake Placid,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Point Pleasant,2004,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Brentwood,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Central Islip,2004,Three Man Ladder,0.15,Three Man Ladder,0,Three Man Ladder,0
Barnard,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
New Hyde Park,2004,Three Man Ladder,0.27,Three Man Ladder,0,Three Man Ladder,0
North Babylon,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Spencerport,2004,Three Man Ladder,1.30,Three Man Ladder,4.3,Three Man Ladder,17.6
Selden,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hicksville,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Port Washington,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hempstead Yellow Hornets,2004,Three Man Ladder,0.71,Three Man Ladder,0,Three Man Ladder,0
Atlantic Steamer,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Islip Terrace,2004,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Saint James,2004,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
North Merrick,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Deerfield,2004,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Bay Shore,2004,Three Man Ladder,0.02,Three Man Ladder,0,Three Man Ladder,0
East Islip,2004,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Bay Shore,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
West Islip,2005,Three Man Ladder,0.19,Three Man Ladder,0,Three Man Ladder,0
Freeport,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Farmingville,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Spencerport,2005,Three Man Ladder,0.68,Three Man Ladder,0.4,Three Man Ladder,4.2
Main-Transit,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Brentwood,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Hempstead,2005,Three Man Ladder,0.09,Three Man Ladder,0,Three Man Ladder,0
Islip,2005,Three Man Ladder,0.04,Three Man Ladder,0,Three Man Ladder,0
Manhasset-Lakeville,2005,Three Man Ladder,0.61,Three Man Ladder,0,Three Man Ladder,0
Copenhagen,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Saint James,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Baldwin,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Point Pleasant,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Elmont,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Babylon,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Lindenhurst,2005,Three Man Ladder,0.66,Three Man Ladder,0,Three Man Ladder,0
Copiague,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Lake Placid,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Oyster Bay TB,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Atlantic Steamer,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Selden,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Coram,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Glenwood,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Massapequa,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Islip Terrace,2005,Three Man Ladder,0.03,Three Man Ladder,0,Three Man Ladder,0
Mineola,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Carle Place,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hagerman,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Roslyn,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Port Washington,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Hempstead Yellow Hornets,2005,Three Man Ladder,1.77,Three Man Ladder,0.1,Three Man Ladder,2.7
East Farmingdale,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hicksville,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
North Bellmore,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Lindenhurst,2005,Three Man Ladder,0.03,Three Man Ladder,0,Three Man Ladder,0
Deerfield,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
New Hyde Park,2005,Three Man Ladder,0.07,Three Man Ladder,0,Three Man Ladder,0
South Hempstead,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
West Sayville,2005,Three Man Ladder,2.47,Three Man Ladder,0,Three Man Ladder,0.5
East Islip,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Cutchogue,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Central Islip,2005,Three Man Ladder,0.01,Three Man Ladder,0,Three Man Ladder,0
Westbury,2005,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Barnard,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Holbrook,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Patchogue,2005,Three Man Ladder,2.40,Three Man Ladder,0,Three Man Ladder,0
Elsmere,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Clayton,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Oceanside,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Henrietta,2005,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Selden,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Cutchogue,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Copenhagen,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Bellmore,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
East Islip,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Westbury,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Roslyn,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
New Hyde Park,2006,Three Man Ladder,0.68,Three Man Ladder,1.2,Three Man Ladder,8.5
West Hempstead,2006,Three Man Ladder,0.09,Three Man Ladder,0,Three Man Ladder,0
West Carthage,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Carle Place,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
South Hempstead,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Sea Breeze,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Sayville,2006,Three Man Ladder,2.98,Three Man Ladder,0,Three Man Ladder,0
Islip Terrace,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Lindenhurst,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Islip,2006,Three Man Ladder,0.25,Three Man Ladder,0,Three Man Ladder,0
Hempstead Yellow Hornets,2006,Three Man Ladder,1.91,Three Man Ladder,0.6,Three Man Ladder,11.3
Lake Placid,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Lindenhurst,2006,Three Man Ladder,0.16,Three Man Ladder,0,Three Man Ladder,0
West Islip,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Copiague,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Deer Park,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Levittown,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Baldwin,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Central Islip,2006,Three Man Ladder,0.06,Three Man Ladder,0,Three Man Ladder,0
Deerfield,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Spencerport,2006,Three Man Ladder,0.64,Three Man Ladder,0,Three Man Ladder,0
Henrietta,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Coram,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
East Farmingdale,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Union Hose,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Point Pleasant,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Brentwood,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Freeport,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Elsmere,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hicksville,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Main-Transit,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Atlantic Steamer,2006,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Saint James,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Sayville,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Riverhead,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Manhasset-Lakeville,2006,Three Man Ladder,0.15,Three Man Ladder,0,Three Man Ladder,0
Patchogue,2006,Three Man Ladder,0.59,Three Man Ladder,0,Three Man Ladder,0
Port Washington,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Elmont,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Bay Shore,2006,Three Man Ladder,0.03,Three Man Ladder,0,Three Man Ladder,0
Clayton,2006,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Islip,2007,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Central Islip,2007,Three Man Ladder,0.26,Three Man Ladder,0,Three Man Ladder,0
Brentwood,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Elmont,2007,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Manhasset-Lakeville,2007,Three Man Ladder,0.02,Three Man Ladder,0,Three Man Ladder,0
Coram,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
East Farmingdale,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Islip,2007,Three Man Ladder,0.15,Three Man Ladder,0,Three Man Ladder,0
Elsmere,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Copenhagen,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Selden,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Riverhead,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Deerfield,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Main-Transit,2007,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
East Islip,2007,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
North Bellmore,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Bay Shore,2007,Three Man Ladder,0.02,Three Man Ladder,0,Three Man Ladder,0
Copiague,2007,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Roslyn,2007,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Clayton,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Levittown,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Babylon,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Oyster Bay TB,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hicksville,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Glenwood,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Henrietta,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
New Hyde Park,2007,Three Man Ladder,0.42,Three Man Ladder,0,Three Man Ladder,6.2
Freeport,2007,Three Man Ladder,0.01,Three Man Ladder,0,Three Man Ladder,0
North Lindenhurst,2007,Three Man Ladder,0.13,Three Man Ladder,0,Three Man Ladder,0
West Hempstead,2007,Three Man Ladder,0.08,Three Man Ladder,0,Three Man Ladder,0
Saint James,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Spencerport,2007,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Sayville,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Carle Place,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Lindenhurst,2007,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Patchogue,2007,Three Man Ladder,0.23,Three Man Ladder,0,Three Man Ladder,0
South Hempstead,2007,Three Man Ladder,0.04,Three Man Ladder,0,Three Man Ladder,0
Hempstead Yellow Hornets,2007,Three Man Ladder,0.91,Three Man Ladder,0.5,Three Man Ladder,13.8
Point Pleasant,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Sayville,2007,Three Man Ladder,3.97,Three Man Ladder,0,Three Man Ladder,0.8
Port Washington,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Cutchogue,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Westbury,2007,Three Man Ladder,0.05,Three Man Ladder,0,Three Man Ladder,2.5
Baldwin,2007,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Copenhagen,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Henrietta,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Oyster Bay TB,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Deerfield,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Spencerport,2008,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
North Bellmore,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Roslyn,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Cutchogue,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Islip,2008,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
New Hyde Park,2008,Three Man Ladder,1.41,Three Man Ladder,0,Three Man Ladder,0.6
Westbury,2008,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Sayville,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Selden,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
East Islip,2008,Three Man Ladder,0.20,Three Man Ladder,0,Three Man Ladder,0.5
Copiague,2008,Three Man Ladder,0.06,Three Man Ladder,0,Three Man Ladder,0
Islip,2008,Three Man Ladder,0.55,Three Man Ladder,0,Three Man Ladder,0
Bay Shore,2008,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Riverhead,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Lake Placid,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Louisville,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Islip Terrace,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Sea Breeze,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
South Hempstead,2008,Three Man Ladder,0.04,Three Man Ladder,0,Three Man Ladder,0
Baldwin,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Elmont,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Sayville,2008,Three Man Ladder,5.43,Three Man Ladder,1.2,Three Man Ladder,13.8
Brentwood,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Elsmere,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Central Islip,2008,Three Man Ladder,1.40,Three Man Ladder,0,Three Man Ladder,0
Carle Place,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Main-Transit,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Point Pleasant,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Union Hose,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Lindenhurst,2008,Three Man Ladder,0.52,Three Man Ladder,0,Three Man Ladder,0
Glenwood,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Freeport,2008,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
East Farmingdale,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Lindenhurst,2008,Three Man Ladder,0.04,Three Man Ladder,0,Three Man Ladder,0
Hempstead Yellow Hornets,2008,Three Man Ladder,0.76,Three Man Ladder,0,Three Man Ladder,0
Manhasset-Lakeville,2008,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Hicksville,2008,Three Man Ladder,0.22,Three Man Ladder,0,Three Man Ladder,0
Port Washington,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Coram,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Saint James,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Clayton,2008,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Hempstead,2008,Three Man Ladder,0.44,Three Man Ladder,0,Three Man Ladder,0
Syosset,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
South Hempstead,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Freeport,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Bay Shore,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Henrietta,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Lake Placid,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Clayton,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hempstead Yellow Hornets,2009,Three Man Ladder,0.75,Three Man Ladder,0.3,Three Man Ladder,6.2
Hicksville,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Point Pleasant,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Central Islip,2009,Three Man Ladder,1.08,Three Man Ladder,0.1,Three Man Ladder,0.3
East Islip,2009,Three Man Ladder,0.59,Three Man Ladder,0.5,Three Man Ladder,1.8
Deer Park,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Delmar,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Garden City Park,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Spencerport,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Copiague,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Main-Transit,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Sayville,2009,Three Man Ladder,1.67,Three Man Ladder,0,Three Man Ladder,4.4
New Hyde Park,2009,Three Man Ladder,0.03,Three Man Ladder,0,Three Man Ladder,0
Merrick,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Islip Terrace,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Sayville,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Atlantic Steamer,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Massapequa,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Glenwood,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Brentwood,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Coram,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Lindenhurst,2009,Three Man Ladder,0.38,Three Man Ladder,0,Three Man Ladder,0
Islip,2009,Three Man Ladder,0.68,Three Man Ladder,0,Three Man Ladder,0
Cutchogue,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Roslyn,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Oyster Bay TB,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Copenhagen,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hagerman,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Elmont,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Hempstead,2009,Three Man Ladder,0.05,Three Man Ladder,0,Three Man Ladder,0
Riverhead,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Baldwin,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Lindenhurst,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Bellmore,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Elsmere,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Selden,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Saint James,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
West Islip,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Port Washington,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Manhasset-Lakeville,2009,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
North Babylon,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Carle Place,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Levittown,2009,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Westbury,2009,Three Man Ladder,0.01,Three Man Ladder,0,Three Man Ladder,0
Lake Placid,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Selden,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Hempstead Yellow Hornets,2010,Three Man Ladder,1.02,Three Man Ladder,0,Three Man Ladder,0.1
Freeport,2010,Three Man Ladder,0.01,Three Man Ladder,0,Three Man Ladder,0
East Farmingdale,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Baldwin,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Westbury,2010,Three Man Ladder,0.06,Three Man Ladder,0.2,Three Man Ladder,2.9
Clayton,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Brentwood,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Sayville,2010,Three Man Ladder,3.17,Three Man Ladder,0.2,Three Man Ladder,4.7
Levittown,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Cutchogue,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
West Hempstead,2010,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Manhasset-Lakeville,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Lindenhurst,2010,Three Man Ladder,0.63,Three Man Ladder,0,Three Man Ladder,0
East Islip,2010,Three Man Ladder,0.19,Three Man Ladder,0,Three Man Ladder,1
Roslyn,2010,Three Man Ladder,0.04,Three Man Ladder,0,Three Man Ladder,0
North Bellmore,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Henrietta,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Islip,2010,Three Man Ladder,0.89,Three Man Ladder,0,Three Man Ladder,0
West Carthage,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
North Babylon,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Riverhead,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Port Washington,2010,Three Man Ladder,0.15,Three Man Ladder,0,Three Man Ladder,0
Central Islip,2010,Three Man Ladder,1.87,Three Man Ladder,0,Three Man Ladder,0
Deer Park,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Saint James,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Lindenhurst,2010,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Oyster Bay TB,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Bay Shore,2010,Three Man Ladder,0.22,Three Man Ladder,0,Three Man Ladder,0
Elmont,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Glenwood,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Elsmere,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
New Hyde Park,2010,Three Man Ladder,0.23,Three Man Ladder,0,Three Man Ladder,0
Sayville,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
South Hempstead,2010,Three Man Ladder,0.02,Three Man Ladder,0,Three Man Ladder,0
Deerfield,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Louisville,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Spencerport,2010,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Hicksville,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Main-Transit,2010,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Copiague,2010,Three Man Ladder,0.05,Three Man Ladder,0,Three Man Ladder,0.2
Coram,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Point Pleasant,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Norfolk,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Copenhagen,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Islip Terrace,2010,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Baldwin,2011,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Bay Shore,2011,Three Man Ladder,0.14,Three Man Ladder,0,Three Man Ladder,0
Brentwood,2011,Three Man Ladder,0.00,Three Man Ladder,0,Three Man Ladder,0
Carle Place,2011,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Central Islip,2011,Three Man Ladder,2.53,Three Man Ladder,0,Three Man Ladder,2.8
Clayton,2011,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Copenhagen,2011,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
Copiague,2011,Three Man Ladder,0.34,Three Man Ladder,0,Three Man Ladder,0
Coram,2011,Three Man Ladder,NA,Three Man Ladder,0,Three Man Ladder,0
